NCBIGENE:1	A1BG
NCBIGENE:100272147	CMC4
NCBIGENE:100287205	USP17L12
NCBIGENE:100287284	MANSC4
NCBIGENE:100287327	USP17L17
NCBIGENE:100287404	USP17L19
NCBIGENE:100287441	USP17L20
NCBIGENE:100287478	USP17L21
NCBIGENE:100288332	NPIPA5
NCBIGENE:100288485	MTRNR2L7
NCBIGENE:100288687	DUX4
NCBIGENE:100288797	TMEM239
NCBIGENE:100293534	C4B_2
NCBIGENE:100302115	MIR1468
NCBIGENE:100302145	MIR1247
NCBIGENE:100302150	MIR1296
NCBIGENE:100302168	MIR1257
NCBIGENE:100302183	MIR1825
NCBIGENE:100313781	MIR718
NCBIGENE:100313923	MIR449C
NCBIGENE:100359403	PARK16
NCBIGENE:100423009	MIR4329
NCBIGENE:10045	SH2D3A
NCBIGENE:100463487	MTRNR2L9
NCBIGENE:100505679	r":"API rate limit exceeded
NCBIGENE:100505876	CEBPZOS
NCBIGENE:100506049	LRRC72
NCBIGENE:100506127	GVQW3
NCBIGENE:100506243	r":"API rate limit exceeded
NCBIGENE:100506248	PTMAP9
NCBIGENE:100506736	SLFN12L
NCBIGENE:100507096	GIMD1
NCBIGENE:100507170	CT47A12
NCBIGENE:100507290	ZNF865
NCBIGENE:100507421	TMEM178B
NCBIGENE:100507588	TGFBR3L
NCBIGENE:100507607	NPIPB9
NCBIGENE:100526693	ARPC4-TTLL3
NCBIGENE:100526835	FPGT-TNNI3K
NCBIGENE:100527964	LHX4-AS1
NCBIGENE:100528017	SAA2-SAA4
NCBIGENE:100528030	POC1B-GALNT4
NCBIGENE:100533177	KRTAP29-1
NCBIGENE:10058	ABCB6
NCBIGENE:100616150	MIR4720
NCBIGENE:100616256	r":"API rate limit exceeded
NCBIGENE:100616258	MIR4516
NCBIGENE:100616394	MIR4444-1
NCBIGENE:100616403	MIR4691
NCBIGENE:100616414	MIR4761
NCBIGENE:100616459	MIR4745
NCBIGENE:100616477	r":"API rate limit exceeded
NCBIGENE:100616496	ERVW-4
NCBIGENE:100631383	FAM47E-STBD1
NCBIGENE:100652824	KIAA2012
NCBIGENE:100653049	LOC100653049
NCBIGENE:10069	r":"API rate limit exceeded
NCBIGENE:10078	TSSC4
NCBIGENE:10081	PDCD7
NCBIGENE:100820829	MYZAP
NCBIGENE:100847070	r":"API rate limit exceeded
NCBIGENE:100847079	MIR5193
NCBIGENE:10086	HHLA1
NCBIGENE:100862671	TMEM265
NCBIGENE:100885848	r":"API rate limit exceeded
NCBIGENE:100885850	PTGES3L-AARSD1
NCBIGENE:10092	ARPC5
NCBIGENE:10094	ARPC3
NCBIGENE:10096	ACTR3
NCBIGENE:100996331	POTEB
NCBIGENE:100996709	LOC100996709
NCBIGENE:100996746	SPDYE11
NCBIGENE:100996763	NOTCH2NLB
NCBIGENE:100996928	r":"API rate limit exceeded
NCBIGENE:100996939	PYURF
NCBIGENE:10103	TSPAN1
NCBIGENE:10106	CTDSP2
NCBIGENE:101060321	TBC1D3G
NCBIGENE:101060521	r":"API rate limit exceeded
NCBIGENE:10110	SGK2
NCBIGENE:10128	LRPPRC
NCBIGENE:10153	CEBPZ
NCBIGENE:10175	CNIH1
NCBIGENE:10179	r":"API rate limit exceeded
NCBIGENE:10181	RBM5
NCBIGENE:10186	LHFPL6
NCBIGENE:101929926	TEX51
NCBIGENE:10193	r":"API rate limit exceeded
NCBIGENE:10196	PRMT3
NCBIGENE:10198	MPHOSPH9
NCBIGENE:102	ADAM10
NCBIGENE:10200	MPHOSPH6
NCBIGENE:10202	DHRS2
NCBIGENE:10204	r":"API rate limit exceeded
NCBIGENE:10211	FLOT1
NCBIGENE:10221	TRIB1
NCBIGENE:10226	PLIN3
NCBIGENE:10233	r":"API rate limit exceeded
NCBIGENE:10235	RASGRP2
NCBIGENE:10243	GPHN
NCBIGENE:10244	RABEPK
NCBIGENE:102464826	r":"API rate limit exceeded
NCBIGENE:102465429	MIR6511B1
NCBIGENE:102465454	MIR6758
NCBIGENE:102465524	MIR6869
NCBIGENE:102465667	MIR7110
NCBIGENE:102466194	MIR6773
NCBIGENE:102466658	MIR6510
NCBIGENE:10252	SPRY1
NCBIGENE:10265	IRX5
NCBIGENE:10270	AKAP8
NCBIGENE:102723655	r":"API rate limit exceeded
NCBIGENE:102723859	TBC1D3E
NCBIGENE:102724101	TP53TG3E
NCBIGENE:102724488	LOC102724488
NCBIGENE:102724594	U2AF1L5
NCBIGENE:10285	SMNDC1
NCBIGENE:10289	EIF1B
NCBIGENE:10296	MAEA
NCBIGENE:10300	KATNB1
NCBIGENE:10309	CCNO
NCBIGENE:10314	LANCL1
NCBIGENE:10316	NMUR1
NCBIGENE:10322	SMYD5
NCBIGENE:10333	TLR6
NCBIGENE:10343	PKDREJ
NCBIGENE:103753527	SCA37
NCBIGENE:10388	SYCP2
NCBIGENE:10407	SPAG11B
NCBIGENE:10411	RAPGEF3
NCBIGENE:10412	NSA2
NCBIGENE:10435	CDC42EP2
NCBIGENE:10439	OLFM1
NCBIGENE:10452	TOMM40
NCBIGENE:10454	TAB1
NCBIGENE:10458	BAIAP2
NCBIGENE:10459	MAD2L2
NCBIGENE:10463	SLC30A9
NCBIGENE:10472	ZBTB18
NCBIGENE:10476	ATP5PD
NCBIGENE:10479	SLC9A6
NCBIGENE:10489	r":"API rate limit exceeded
NCBIGENE:10501	SEMA6B
NCBIGENE:10507	SEMA4D
NCBIGENE:10513	APPBP2
NCBIGENE:10527	IPO7
NCBIGENE:10529	r":"API rate limit exceeded
NCBIGENE:10531	PITRM1
NCBIGENE:10536	P3H3
NCBIGENE:105369241	LOC105369241
NCBIGENE:105370298	LOC105370298
NCBIGENE:105371242	r":"API rate limit exceeded
NCBIGENE:105377641	LOC105377641
NCBIGENE:105378803	LRRC53
NCBIGENE:105379765	LOC105379765
NCBIGENE:105379861	LOC105379861
NCBIGENE:10542	LAMTOR5
NCBIGENE:10553	HTATIP2
NCBIGENE:10556	RPP30
NCBIGENE:10560	SLC19A2
NCBIGENE:10579	r":"API rate limit exceeded
NCBIGENE:10585	POMT1
NCBIGENE:10587	TXNRD2
NCBIGENE:10591	r":"API rate limit exceeded
NCBIGENE:10598	AHSA1
NCBIGENE:10611	PDLIM5
NCBIGENE:10614	HEXIM1
NCBIGENE:10615	SPAG5
NCBIGENE:10626	TRIM16
NCBIGENE:10633	RASL10A
NCBIGENE:10647	SCGB1D2
NCBIGENE:10661	KLF1
NCBIGENE:10666	CD226
NCBIGENE:10672	r":"API rate limit exceeded
NCBIGENE:10678	B3GNT2
NCBIGENE:106821730	BUB1B-PAK6
NCBIGENE:10687	PNMA2
NCBIGENE:10691	GMEB1
NCBIGENE:10695	CNPY3
NCBIGENE:107	ADCY1
NCBIGENE:10712	FAM189B
NCBIGENE:10714	POLD3
NCBIGENE:10716	TBR1
NCBIGENE:107181291	PYDC5
NCBIGENE:1072	CFL1
NCBIGENE:10721	POLQ
NCBIGENE:10728	r":"API rate limit exceeded
NCBIGENE:10730	YME1L1
NCBIGENE:10739	RFPL2
NCBIGENE:10766	TOB2
NCBIGENE:10775	POP4
NCBIGENE:10785	WDR4
NCBIGENE:10791	VAMP5
NCBIGENE:10797	MTHFD2
NCBIGENE:107984055	LOC107984055
NCBIGENE:107987462	r":"API rate limit exceeded
NCBIGENE:107987488	LOC107987488
NCBIGENE:107987490	LOC107987490
NCBIGENE:107987491	LOC107987491
NCBIGENE:10814	CPLX2
NCBIGENE:10815	r":"API rate limit exceeded
NCBIGENE:10826	FAXDC2
NCBIGENE:10840	ALDH1L1
NCBIGENE:10876	EDDM3A
NCBIGENE:10880	ACTL7B
NCBIGENE:10881	ACTL7A
NCBIGENE:10882	C1QL1
NCBIGENE:10886	r":"API rate limit exceeded
NCBIGENE:10904	BLCAP
NCBIGENE:10921	RNPS1
NCBIGENE:10926	DBF4
NCBIGENE:10933	MORF4L1
NCBIGENE:10935	r":"API rate limit exceeded
NCBIGENE:10946	SF3A3
NCBIGENE:109580095	HBB-LCR
NCBIGENE:10961	ERP29
NCBIGENE:10971	r":"API rate limit exceeded
NCBIGENE:10975	UQCR11
NCBIGENE:10980	COPS6
NCBIGENE:10989	IMMT
NCBIGENE:10991	SLC38A3
NCBIGENE:11007	CCDC85B
NCBIGENE:11012	KLK11
NCBIGENE:11014	KDELR2
NCBIGENE:11016	ATF7
NCBIGENE:11079	RER1
NCBIGENE:11085	ADAM30
NCBIGENE:11093	ADAMTS13
NCBIGENE:11095	ADAMTS8
NCBIGENE:11097	NUP42
NCBIGENE:11099	PTPN21
NCBIGENE:11101	r":"API rate limit exceeded
NCBIGENE:11107	PRDM5
NCBIGENE:11123	RCAN3
NCBIGENE:11127	KIF3A
NCBIGENE:11128	POLR3A
NCBIGENE:11135	CDC42EP1
NCBIGENE:11144	DMC1
NCBIGENE:11148	HHLA2
NCBIGENE:11153	FICD
NCBIGENE:11161	r":"API rate limit exceeded
NCBIGENE:11162	NUDT6
NCBIGENE:11164	NUDT5
NCBIGENE:11171	STRAP
NCBIGENE:11173	ADAMTS7
NCBIGENE:11180	r":"API rate limit exceeded
NCBIGENE:11184	MAP4K1
NCBIGENE:11189	CELF3
NCBIGENE:11194	ABCB8
NCBIGENE:112	r":"API rate limit exceeded
NCBIGENE:11200	CHEK2
NCBIGENE:11221	DUSP10
NCBIGENE:11226	GALNT6
NCBIGENE:11230	PRAF2
NCBIGENE:11243	PMF1
NCBIGENE:112464	CAVIN3
NCBIGENE:112495	GTF3C6
NCBIGENE:11254	SLC6A14
NCBIGENE:112574	SNX18
NCBIGENE:112609	MRAP2
NCBIGENE:11272	PRR4
NCBIGENE:11275	r":"API rate limit exceeded
NCBIGENE:112752	IFT43
NCBIGENE:112817	HOGA1
NCBIGENE:112885	PHF21B
NCBIGENE:112942	CFAP36
NCBIGENE:112950	MED8
NCBIGENE:113000	RPUSD1
NCBIGENE:113026	PLCD3
NCBIGENE:113091	PTH2
NCBIGENE:113177	r":"API rate limit exceeded
NCBIGENE:113178	SCAMP4
NCBIGENE:11318	GPR182
NCBIGENE:113189	CHST14
NCBIGENE:113201	GOLM2
NCBIGENE:113235	r":"API rate limit exceeded
NCBIGENE:113246	C12orf57
NCBIGENE:113277	TMEM106A
NCBIGENE:113278	SLC52A3
NCBIGENE:11328	FKBP9
NCBIGENE:11330	r":"API rate limit exceeded
NCBIGENE:11340	EXOSC8
NCBIGENE:113419	TEX261
NCBIGENE:113540	CMTM1
NCBIGENE:113612	r":"API rate limit exceeded
NCBIGENE:113746	ODF3
NCBIGENE:113791	PIK3IP1
NCBIGENE:113802	HENMT1
NCBIGENE:113829	SLC35A4
NCBIGENE:114049	BUD23
NCBIGENE:1141	CHRNB2
NCBIGENE:114134	SLC2A13
NCBIGENE:114294	LACTB
NCBIGENE:1143	r":"API rate limit exceeded
NCBIGENE:114327	EFHC1
NCBIGENE:114571	SLC22A9
NCBIGENE:114625	ERMAP
NCBIGENE:114757	CYGB
NCBIGENE:114769	r":"API rate limit exceeded
NCBIGENE:114780	PKD1L2
NCBIGENE:114784	CSMD2
NCBIGENE:114785	MBD6
NCBIGENE:114790	STK11IP
NCBIGENE:114792	KLHL32
NCBIGENE:114793	FMNL2
NCBIGENE:114794	ELFN2
NCBIGENE:114801	TMEM200A
NCBIGENE:114803	r":"API rate limit exceeded
NCBIGENE:114814	GNRHR2
NCBIGENE:114815	SORCS1
NCBIGENE:114818	KLHL29
NCBIGENE:114823	LENG8
NCBIGENE:114824	PNMA5
NCBIGENE:114827	FHAD1
NCBIGENE:114879	OSBPL5
NCBIGENE:114881	OSBPL7
NCBIGENE:114882	OSBPL8
NCBIGENE:114885	OSBPL11
NCBIGENE:114902	C1QTNF5
NCBIGENE:114907	r":"API rate limit exceeded
NCBIGENE:114908	TMEM123
NCBIGENE:114971	PTPMT1
NCBIGENE:1152	CKB
NCBIGENE:115361	r":"API rate limit exceeded
NCBIGENE:115426	UHRF2
NCBIGENE:115701	ALPK2
NCBIGENE:115992	r":"API rate limit exceeded
NCBIGENE:116071	BATF2
NCBIGENE:116085	SLC22A12
NCBIGENE:116211	TM4SF19
NCBIGENE:116225	ZMYND19
NCBIGENE:116228	COX20
NCBIGENE:116255	MOGAT1
NCBIGENE:116285	r":"API rate limit exceeded
NCBIGENE:116362	RBP7
NCBIGENE:116369	SLC26A8
NCBIGENE:116442	RAB39B
NCBIGENE:116461	TSEN15
NCBIGENE:116496	NIBAN1
NCBIGENE:116512	MRGPRD
NCBIGENE:116535	MRGPRF
NCBIGENE:116541	r":"API rate limit exceeded
NCBIGENE:116843	r":"API rate limit exceeded
NCBIGENE:116983	ACAP3
NCBIGENE:116984	ARAP2
NCBIGENE:116985	ARAP1
NCBIGENE:116986	AGAP2
NCBIGENE:116988	AGAP3
NCBIGENE:117	ADCYAP1R1
NCBIGENE:117154	DACH2
NCBIGENE:117155	CATSPER2
NCBIGENE:117157	SH2D1B
NCBIGENE:117159	DCD
NCBIGENE:117177	RAB3IP
NCBIGENE:117195	MRGPRX3
NCBIGENE:117289	TAGAP
NCBIGENE:118426	BORCS5
NCBIGENE:118460	EXOSC6
NCBIGENE:118490	MSS51
NCBIGENE:118670	FAM24A
NCBIGENE:118672	PSTK
NCBIGENE:118856	MMP21
NCBIGENE:118924	FRA10AC1
NCBIGENE:118932	ANKRD22
NCBIGENE:118980	SFXN2
NCBIGENE:118987	PDZD8
NCBIGENE:119016	AGAP4
NCBIGENE:119391	r":"API rate limit exceeded
NCBIGENE:119392	SFR1
NCBIGENE:119467	CLRN3
NCBIGENE:119504	ANAPC16
NCBIGENE:119548	PNLIPRP3
NCBIGENE:119679	OR52J3
NCBIGENE:119710	IFTAP
NCBIGENE:119749	OR4C46
NCBIGENE:119772	r":"API rate limit exceeded
NCBIGENE:119774	OR52K2
NCBIGENE:120103	SLC36A4
NCBIGENE:120224	TMEM45B
NCBIGENE:1203	r":"API rate limit exceeded
NCBIGENE:120406	NXPE2
NCBIGENE:120526	DNAJC24
NCBIGENE:120534	ARL14EP
NCBIGENE:120793	r":"API rate limit exceeded
NCBIGENE:121260	SLC15A4
NCBIGENE:121391	KRT74
NCBIGENE:122042	RXFP2
NCBIGENE:122618	PLD4
NCBIGENE:122665	RNASE8
NCBIGENE:123096	SLC25A29
NCBIGENE:123207	C15orf40
NCBIGENE:123688	HYKK
NCBIGENE:123904	NRN1L
NCBIGENE:123920	CMTM3
NCBIGENE:123970	C16orf78
NCBIGENE:124044	SPATA2L
NCBIGENE:124093	CCDC78
NCBIGENE:124152	IQCK
NCBIGENE:124220	ZG16B
NCBIGENE:124402	UBALD1
NCBIGENE:124404	SEPTIN12
NCBIGENE:124411	r":"API rate limit exceeded
NCBIGENE:124454	EARS2
NCBIGENE:124512	METTL23
NCBIGENE:124538	OR4D2
NCBIGENE:124590	USH1G
NCBIGENE:124626	ZPBP2
NCBIGENE:124641	OVCA2
NCBIGENE:124751	KRBA2
NCBIGENE:124783	SPATA32
NCBIGENE:124790	HEXIM2
NCBIGENE:124817	CNTD1
NCBIGENE:124961	ZFP3
NCBIGENE:125	ADH1B
NCBIGENE:125111	r":"API rate limit exceeded
NCBIGENE:125206	SLC5A10
NCBIGENE:125228	FAM210A
NCBIGENE:126	ADH1C
NCBIGENE:126074	SWSAP1
NCBIGENE:126075	CCDC159
NCBIGENE:126119	JOSD2
NCBIGENE:126123	IZUMO2
NCBIGENE:126133	ALDH16A1
NCBIGENE:126231	ZNF573
NCBIGENE:126295	ZNF57
NCBIGENE:126308	MOB3A
NCBIGENE:126326	GIPC3
NCBIGENE:126353	MISP
NCBIGENE:126374	WTIP
NCBIGENE:126382	NR2C2AP
NCBIGENE:126402	CCDC105
NCBIGENE:126541	OR10H4
NCBIGENE:126549	ANKLE1
NCBIGENE:126626	GABPB2
NCBIGENE:126668	TDRD10
NCBIGENE:126695	KDF1
NCBIGENE:126767	r":"API rate limit exceeded
NCBIGENE:126792	B3GALT6
NCBIGENE:126820	DNAI3
NCBIGENE:126917	IFFO2
NCBIGENE:127002	ATXN7L2
NCBIGENE:127059	OR2M5
NCBIGENE:127074	OR2T4
NCBIGENE:127077	OR2T11
NCBIGENE:127247	ASB17
NCBIGENE:127255	LRRIQ3
NCBIGENE:127281	PRXL2B
NCBIGENE:127396	ZNF684
NCBIGENE:127495	LRRC39
NCBIGENE:127550	r":"API rate limit exceeded
NCBIGENE:127579	DCST2
NCBIGENE:127617	OR14L1P
NCBIGENE:127795	C1orf87
NCBIGENE:127829	ARL8A
NCBIGENE:127933	UHMK1
NCBIGENE:128	ADH5
NCBIGENE:128061	C1orf131
NCBIGENE:128153	SPATA17
NCBIGENE:128218	TMEM125
NCBIGENE:128239	IQGAP3
NCBIGENE:128308	MRPL55
NCBIGENE:128360	OR10T2
NCBIGENE:128368	OR10Z1
NCBIGENE:128372	r":"API rate limit exceeded
NCBIGENE:128408	BHLHE23
NCBIGENE:128821	CST9L
NCBIGENE:128866	CHMP4B
NCBIGENE:128989	TANGO2
NCBIGENE:129049	SGSM1
NCBIGENE:129303	TMEM150A
NCBIGENE:129446	XIRP2
NCBIGENE:129531	MITD1
NCBIGENE:129607	r":"API rate limit exceeded
NCBIGENE:129685	TAF8
NCBIGENE:129868	TRIM43
NCBIGENE:129880	BBS5
NCBIGENE:130013	ACMSD
NCBIGENE:1301	COL11A1
NCBIGENE:130120	REG3G
NCBIGENE:130340	AP1S3
NCBIGENE:130399	ACVR1C
NCBIGENE:130507	UBR3
NCBIGENE:130574	LYPD6
NCBIGENE:130576	LYPD6B
NCBIGENE:130612	TMEM198
NCBIGENE:130617	r":"API rate limit exceeded
NCBIGENE:130733	TMEM178A
NCBIGENE:130813	C2orf50
NCBIGENE:130827	TMEM182
NCBIGENE:130940	CCDC148
NCBIGENE:130951	M1AP
NCBIGENE:131	ADH7
NCBIGENE:1311	COMP
NCBIGENE:131118	DNAJC19
NCBIGENE:131177	r":"API rate limit exceeded
NCBIGENE:131368	ZPLD1
NCBIGENE:131405	TRIM71
NCBIGENE:131408	FAM131A
NCBIGENE:131450	r":"API rate limit exceeded
NCBIGENE:131566	r":"API rate limit exceeded
NCBIGENE:131578	LRRC15
NCBIGENE:131601	TPRA1
NCBIGENE:131669	UROC1
NCBIGENE:1317	r":"API rate limit exceeded
NCBIGENE:131890	GRK7
NCBIGENE:132014	IL17RE
NCBIGENE:132112	RTP1
NCBIGENE:132204	SYNPR
NCBIGENE:132332	SMIM43
NCBIGENE:132430	PABPC4L
NCBIGENE:132612	ADAD1
NCBIGENE:132625	ZFP42
NCBIGENE:132720	FAM241A
NCBIGENE:132949	AASDH
NCBIGENE:132989	C4orf36
NCBIGENE:133060	OTOP1
NCBIGENE:133383	r":"API rate limit exceeded
NCBIGENE:133396	IL31RA
NCBIGENE:133418	EMB
NCBIGENE:133482	SLCO6A1
NCBIGENE:133558	MROH2B
NCBIGENE:133584	r":"API rate limit exceeded
NCBIGENE:133686	NADK2
NCBIGENE:133690	CAPSL
NCBIGENE:133957	CCDC127
NCBIGENE:1340	COX6B1
NCBIGENE:134111	UBE2QL1
NCBIGENE:134187	r":"API rate limit exceeded
NCBIGENE:134265	AFAP1L1
NCBIGENE:134285	TMEM171
NCBIGENE:134353	LSM11
NCBIGENE:134391	GPR151
NCBIGENE:134430	r":"API rate limit exceeded
NCBIGENE:134526	ACOT12
NCBIGENE:134549	SHROOM1
NCBIGENE:134701	RIPPLY2
NCBIGENE:134860	r":"API rate limit exceeded
NCBIGENE:1350	COX7C
NCBIGENE:135152	B3GAT2
NCBIGENE:135250	RAET1E
NCBIGENE:135458	r":"API rate limit exceeded
NCBIGENE:135924	OR9A2
NCBIGENE:135932	TMEM139
NCBIGENE:135941	OR2A14
NCBIGENE:135948	OR2F2
NCBIGENE:136242	PRSS37
NCBIGENE:136263	SSMEM1
NCBIGENE:136288	C7orf57
NCBIGENE:136371	ASB10
NCBIGENE:136991	ASZ1
NCBIGENE:137196	CCDC26
NCBIGENE:137362	GOT1L1
NCBIGENE:137682	NDUFAF6
NCBIGENE:137735	ABRA
NCBIGENE:137797	r":"API rate limit exceeded
NCBIGENE:137835	TMEM71
NCBIGENE:137872	ADHFE1
NCBIGENE:137902	PXDNL
NCBIGENE:1380	CR2
NCBIGENE:138199	CARNMT1
NCBIGENE:138240	C9orf57
NCBIGENE:138255	C9orf135
NCBIGENE:138307	r":"API rate limit exceeded
NCBIGENE:1384	CRAT
NCBIGENE:138428	PTRH1
NCBIGENE:138805	OR13F1
NCBIGENE:139105	BEND2
NCBIGENE:139189	DGKK
NCBIGENE:139231	FAM199X
NCBIGENE:139341	FUNDC1
NCBIGENE:139411	PTCHD1
NCBIGENE:139599	MAGEE2
NCBIGENE:139735	ZFP92
NCBIGENE:139793	PAGE3
NCBIGENE:1400	CRMP1
NCBIGENE:140597	TCEAL2
NCBIGENE:140609	NEK7
NCBIGENE:142	PARP1
NCBIGENE:1423	CRYGFP
NCBIGENE:142891	SAMD8
NCBIGENE:142910	LIPJ
NCBIGENE:142940	TRUB1
NCBIGENE:143187	VTI1A
NCBIGENE:1442	CSH1
NCBIGENE:144809	FAM216B
NCBIGENE:145173	B3GLCT
NCBIGENE:145226	RDH12
NCBIGENE:145376	r":"API rate limit exceeded
NCBIGENE:145407	ARMH4
NCBIGENE:145447	ABHD12B
NCBIGENE:145483	FAM161B
NCBIGENE:145645	TERB2
NCBIGENE:145748	LYSMD4
NCBIGENE:145773	FAM81A
NCBIGENE:145781	GCOM1
NCBIGENE:145853	C15orf61
NCBIGENE:145942	r":"API rate limit exceeded
NCBIGENE:146059	CDAN1
NCBIGENE:146167	SLC38A8
NCBIGENE:146183	OTOA
NCBIGENE:146206	CARMIL2
NCBIGENE:146279	r":"API rate limit exceeded
NCBIGENE:146378	C16orf92
NCBIGENE:146429	SLC22A31
NCBIGENE:146439	BICDL2
NCBIGENE:146542	ZNF688
NCBIGENE:146562	C16orf71
NCBIGENE:146691	TOM1L2
NCBIGENE:146722	CD300LF
NCBIGENE:146723	C17orf77
NCBIGENE:146802	r":"API rate limit exceeded
NCBIGENE:146849	CCDC42
NCBIGENE:146852	ODF4
NCBIGENE:146861	SLC35G3
NCBIGENE:146894	CD300LG
NCBIGENE:147011	r":"API rate limit exceeded
NCBIGENE:147040	KCTD11
NCBIGENE:147138	TMC8
NCBIGENE:147183	KRT25
NCBIGENE:147463	ANKRD29
NCBIGENE:147495	APCDD1
NCBIGENE:147645	VSIG10L
NCBIGENE:147650	SPACA6
NCBIGENE:147658	ZNF534
NCBIGENE:147664	ERVV-1
NCBIGENE:148156	ZNF558
NCBIGENE:148206	ZNF714
NCBIGENE:148223	r":"API rate limit exceeded
NCBIGENE:148252	DIRAS1
NCBIGENE:148304	C1orf74
NCBIGENE:148398	SAMD11
NCBIGENE:148423	C1orf52
NCBIGENE:148581	r":"API rate limit exceeded
NCBIGENE:148738	r":"API rate limit exceeded
NCBIGENE:148789	B3GALNT2
NCBIGENE:148811	PM20D1
NCBIGENE:148823	GCSAML
NCBIGENE:148930	KNCN
NCBIGENE:148932	MOB3C
NCBIGENE:149013	NBPF12
NCBIGENE:149018	LELP1
NCBIGENE:149069	DCDC2B
NCBIGENE:149175	r":"API rate limit exceeded
NCBIGENE:149461	CLDN19
NCBIGENE:149478	BTBD19
NCBIGENE:1497	CTNS
NCBIGENE:149954	r":"API rate limit exceeded
NCBIGENE:150082	LCA5L
NCBIGENE:150274	HSCB
NCBIGENE:150297	C22orf42
NCBIGENE:150368	PHETA2
NCBIGENE:150483	TEKT4
NCBIGENE:150684	COMMD1
NCBIGENE:150921	TCF23
NCBIGENE:151056	PLB1
NCBIGENE:151188	r":"API rate limit exceeded
NCBIGENE:1512	CTSH
NCBIGENE:151242	PPP1R1C
NCBIGENE:151295	SLC23A3
NCBIGENE:151525	r":"API rate limit exceeded
NCBIGENE:151742	PPM1L
NCBIGENE:151887	CCDC80
NCBIGENE:152206	CCDC13
NCBIGENE:152573	SHISA3
NCBIGENE:152579	SCFD2
NCBIGENE:152586	r":"API rate limit exceeded
NCBIGENE:153201	SLC36A2
NCBIGENE:153222	CREBRF
NCBIGENE:153241	CEP120
NCBIGENE:153328	SLC25A48
NCBIGENE:153339	r":"API rate limit exceeded
NCBIGENE:153643	FAM81B
NCBIGENE:153657	TTC23L
NCBIGENE:153830	RNF145
NCBIGENE:153918	ZC2HC1B
NCBIGENE:1540	CYLD
NCBIGENE:154141	MBOAT1
NCBIGENE:154150	HDGFL1
NCBIGENE:154313	CFAP206
NCBIGENE:154661	RUNDC3B
NCBIGENE:154664	ABCA13
NCBIGENE:154791	FMC1
NCBIGENE:154796	AMOT
NCBIGENE:154807	r":"API rate limit exceeded
NCBIGENE:154872	C7orf77
NCBIGENE:1549	CYP2A7
NCBIGENE:154907	C7orf66
NCBIGENE:155038	r":"API rate limit exceeded
NCBIGENE:155051	CRYGN
NCBIGENE:155061	ZNF746
NCBIGENE:155184	SLC2A7
NCBIGENE:155185	AMZ1
NCBIGENE:155368	METTL27
NCBIGENE:155435	RBM33
NCBIGENE:155465	AGR3
NCBIGENE:1558	CYP2C8
NCBIGENE:157285	PRAG1
NCBIGENE:157378	TMEM65
NCBIGENE:157567	ANKRD46
NCBIGENE:157574	FBXO16
NCBIGENE:157680	VPS13B
NCBIGENE:157695	TDRP
NCBIGENE:157697	ERICH1
NCBIGENE:157724	SLC7A13
NCBIGENE:157753	TMEM74
NCBIGENE:157769	r":"API rate limit exceeded
NCBIGENE:157773	C8orf48
NCBIGENE:157848	NKX6-3
NCBIGENE:157869	SBSPON
NCBIGENE:157983	DOCK8-AS1
NCBIGENE:158038	r":"API rate limit exceeded
NCBIGENE:158067	AK8
NCBIGENE:158078	EEF1A1P5
NCBIGENE:158158	RASEF
NCBIGENE:158219	r":"API rate limit exceeded
NCBIGENE:158293	FAM120AOS
NCBIGENE:158314	LINC00475
NCBIGENE:158326	FREM1
NCBIGENE:158358	KIAA2026
NCBIGENE:158427	TSTD2
NCBIGENE:158511	r":"API rate limit exceeded
NCBIGENE:158584	FAAH2
NCBIGENE:158586	ZXDB
NCBIGENE:1586	CYP17A1
NCBIGENE:158747	MOSPD2
NCBIGENE:158787	r":"API rate limit exceeded
NCBIGENE:158800	RHOXF1
NCBIGENE:158809	MAGEB6
NCBIGENE:158833	AWAT1
NCBIGENE:158835	AWAT2
NCBIGENE:158866	ZDHHC15
NCBIGENE:159013	CXorf38
NCBIGENE:159090	PABIR2
NCBIGENE:159091	PABIR3
NCBIGENE:159119	HSFY2
NCBIGENE:159195	USP54
NCBIGENE:160065	PATE1
NCBIGENE:160298	C11orf42
NCBIGENE:160364	CLEC12A
NCBIGENE:160419	C12orf50
NCBIGENE:160428	ALDH1L2
NCBIGENE:160518	DENND5B
NCBIGENE:160762	CCDC63
NCBIGENE:160777	r":"API rate limit exceeded
NCBIGENE:1608	DGKG
NCBIGENE:160851	DGKH
NCBIGENE:160897	GPR180
NCBIGENE:161003	STOML3
NCBIGENE:161142	FAM71D
NCBIGENE:161253	REM2
NCBIGENE:161291	TMEM30B
NCBIGENE:161497	STRC
NCBIGENE:161502	r":"API rate limit exceeded
NCBIGENE:161725	OTUD7A
NCBIGENE:161742	SPRED1
NCBIGENE:161753	ODF3L1
NCBIGENE:161829	EXD1
NCBIGENE:161835	FSIP1
NCBIGENE:161931	ADAD2
NCBIGENE:162	AP1B1
NCBIGENE:162073	ITPRIPL2
NCBIGENE:162239	ZFP1
NCBIGENE:162333	r":"API rate limit exceeded
NCBIGENE:162387	MFSD6L
NCBIGENE:162417	NAGS
NCBIGENE:162427	RETREG3
NCBIGENE:162461	TMEM92
NCBIGENE:162466	r":"API rate limit exceeded
NCBIGENE:162605	KRT28
NCBIGENE:162963	ZNF610
NCBIGENE:162966	ZNF600
